,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
13,13,goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6,8.6,0,29.7,0.076,8.2,0.1,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0,0.044,0.083,0.039,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2
14,14,gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7,0,31.9,0.2,11.6,0.053,0.016,0.042,0.010,0.009,0.081,0.011,0.053,0,0.040,0.026,0.074,196,0.013,0.060,8.1,0.080,152.9,33.9,0.050,1.1,211.424
15,15,pepper jack cheese lucerne,75,6,4,0,0,0,0,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
16,16,caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0,7.1,0,26.3,0.2,11.1,0.014,0.077,0.066,0.038,0.1,0.040,0.022,0.086,0,0,0,0,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8,207.072
17,17,gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0,0,0,0,908,0.2,1.2,158.9,0.035,1007.90,3198.40,0.039,2.6,1095.7
18,18,tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0,9.8,0,40.8,0.3,17.1,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0,0,0,0,280,0.033,0.010,5.2,0.086,200,26,0.026,1.4,301.069
19,19,goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0,22.4,0.1,12.9,0.1,0.013,0.011,0.086,0.2,0.3,0.030,0.087,0,0.078,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494
20,20,brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7,0,28.2,0.2,12.3,0.016,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0,0.042,0.072,0.064,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002
21,21,asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2,25.5,0,118.7,0.7,47.6,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0,0.071,0.3,0.020,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175
22,22,camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0,21.6,0.3,15.5,0.091,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0,0.093,0.014,0.024,116.4,0.046,0.063,6,0.075,104.1,56.1,0.035,0.7,129.826
23,23,provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6,27.9,0,62.2,1,57.2,0.2,0.050,0.063,0.079,0.4,0.2,0.5,0.061,0,0.027,0.2,0.076,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6,906.9
24,24,roquefort cheese,314,26,16.4,7.2,1.1,1.7,0,18.3,0,76.5,1.5,33.5,0.2,0.092,0.037,0.002,0.5,0.6,1.5,0.1,0,0,0,0,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,609.4
25,25,queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1,24,0,82.6,0.8,57.5,0.2,0.097,0,0.022,0.3,0.038,0.5,0.1,0,0.050,0.6,0.061,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6,870.3
26,26,queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5,23.8,0,75.7,1.8,40.9,0.2,0.038,0,0.010,0.2,0.027,0.4,0.049,0,0.032,0.5,0.045,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2,691.0
27,27,goat cheese soft,75,6,4.1,1.4,0.1,0,0.3,5.2,0,13.0,0.1,17.2,0.049,0.057,0.037,0.012,0.1,0.1,0.2,0.036,0,0.092,0.010,0.093,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3,51.311
28,28,mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0,6.7,0,23.7,0.1,15,0.037,0.088,0.088,0.081,0.071,0.013,0.089,0.016,0,0.044,0.001,0.008,151.5,0.057,0.1,6,0.019,106.2,22.8,0.047,0.9,165.648
29,29,chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0,138.6,0.8,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0,0.089,0.3,0.011,859.3,0.030,0.6,30.4,0.047,583.4,68.6,0.071,4.6,934.983
30,30,limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1,6,0,27.0,0.2,14.5,0.1,0.021,0.095,0.082,0.2,0.009,0.4,0.002,0,0.004,0.055,0.046,149.1,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6,163.575
31,31,muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4
32,32,queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,0.019,0.029,0.076,0.2,0.050,0.4,0.060,0,0.055,0.5,0.087,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1,745.8
33,33,brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0,30.0,0.2,14.5,0.014,0.040,0.025,0.073,0.2,0.1,0.2,0.001,0,0.068,0.078,0.056,55.2,0.015,0.2,6,0.047,56.4,45.6,0.040,0.7,70.096
34,34,pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31,0.1,131.6,2,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.60,226.8,0.089,4.2,940.9
35,35,mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6,27.7,0,69.4,0.9,54,0.2,0.091,0.027,0.050,0.3,0.017,0,0.040,0,0.087,0.2,0.073,1283.50,0.034,0.1,39.2,0,653,104.2,0.006,4.8,1337.0
36,36,feta cheese,80,6.4,4,1.4,0.2,1.2,0,4.3,0,26.7,0.3,16.6,0.014,0.063,0.021,0.076,0.3,0.3,0.3,0.1,0,0.060,0.036,0.057,147.9,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9,160.058
37,37,mozzarella cheese fat free,159,0,0,0,0,4,1.7,35.8,2,20.3,0.8,68,0.1,0.079,0.011,0.025,0.3,0.1,0,0.055,0,0,0.2,0.018,1085.90,0.077,0.4,37.3,0,741.3,119.8,0.035,4.4,1128.2
38,38,provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0,0.028,0.3,0.001,997.9,0.011,0.7,37,0.033,654.7,182.2,0.017,4.3,1070.6
39,39,anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0,0.032,0.3,0.078,897.6,0.058,0.6,37,0.067,586.1,114.8,0.095,3.9,972.205
65,65,corn rice,110,0.3,0.020,0.000,0.1,25.2,3,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0,0,1.1,8.6,0.007,1.7,11.2,0,0.035,0,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2,51.9
167,167,corn pasta cooked,176,1,0.1,0.3,0.5,39.1,0,3.7,6.7,0.0,0,95.6,0,0.074,0.015,0,0.032,0.8,0.2,0.030,0,0,0,0,1.4,0.002,0.4,50.4,0.2,106.4,43.4,0.081,0.9,52.3
344,344,sucker raw,146,3.7,0.7,1.1,1.3,0,0,26.6,0,65.2,0.000,126.7,0.041,0.095,0.028,0.063,0.1,1.9,1.2,0.3,0,0,0,0,111.3,0.3,2.1,47.7,1,333.9,604.2,0.056,1.2,143.779
345,345,northern pike raw,348,2.7,0.5,0.6,0.8,0,0,76.3,0,154.4,0.2,312.5,0.059,0.2,0.077,0.078,0.2,9.1,3,0.5,15,0.025,0.8,0.089,225.7,0.2,2.2,122.8,1,871.2,1025.60,0.082,2.7,321.946
346,346,haddock cooked,135,0.8,0.2,0.1,0.3,0,0,30,0,99.0,0.4,119.5,0.012,0.099,0.035,0.045,0.1,6.2,0.7,0.5,0,0.064,0.8,0.004,21,0.042,0.3,39,0.060,417,526.5,0.055,0.6,52.159
347,347,burbot cooked,104,0.9,0.2,0.2,0.3,0,0,22.3,0,69.3,0.1,66.1,0.071,0.4,0.059,0.087,0.2,1.8,0.2,0.3,0,0,0,0,57.6,0.2,1,36.9,0.8,230.4,466.2,0.002,0.9,81.891
348,348,pollock cooked,356,3.8,0.5,0.4,1.9,0,0,75.3,0,274.8,0.3,217.5,0.045,0.2,0.092,0.093,0.7,12,1.2,1,0,0,0,0,232.5,0.2,1.8,259.7,0.026,854.7,1377.10,0.1,1.8,313.428
349,349,rainbow smelt raw,27,0.7,0.1,0.2,0.3,0,0,5,0,19.8,0.019,22.3,0.036,0.071,0.057,0.056,0.024,0.4,0.2,0.095,0,0.045,0.1,0.068,17,0.041,0.3,8.5,0.2,65.1,82.1,0.036,0.5,23.004
350,350,whitefish cooked,265,11.6,1.8,3.9,4.2,0,0,37.7,0,118.6,0.1,100.2,0.082,0.3,0.000,0.027,0.2,5.9,1.3,0.5,0,0,0,0,50.8,0.1,0.7,64.7,0.1,532.8,625.2,0.080,2,100.864
351,351,walleye pike raw,148,1.9,0.4,0.5,0.7,0,0,30.4,0,136.7,0.011,126.1,0.083,0.4,0.032,0.006,0.3,3.7,1.2,0.2,0,0,0,0,174.9,0.3,2.1,47.7,1.3,333.9,618.5,0.011,1,209.316
352,352,carp cooked,275,12.2,2.4,5.1,3.1,0,0,38.9,0,142.8,0.1,118.4,0.020,0.2,0.056,0.090,0.1,3.6,1.5,0.4,2.7,0,0,0,88.4,0.1,2.7,64.6,0.074,902.7,725.9,0.082,3.2,144.989
353,353,wolffish cooked,293,7.3,1.1,2.6,2.6,0,0,53.4,0,140.4,0.3,176.7,0.3,0.5,0.063,0.080,0.2,6.2,1.6,1.1,0,0,0,0,19,0.048,0.3,90.4,0.075,609.3,916.3,0.1,2.4,80.3
354,354,snapper cooked,218,2.9,0.6,0.5,1,0,0,44.7,0,79.9,0.066,119.6,0.071,0.009,0.094,0.050,0.065,0.6,1.5,0.8,2.7,0,0,0,68,0.027,0.4,62.9,0.034,341.7,887.4,0.070,0.7,118.742
355,355,roe cooked,58,2.3,0.5,0.6,1,0.5,0,8.1,0,135.6,0.055,16.6,0.066,0.001,0.055,0.056,0.3,0.6,0.3,0.085,4.6,0,0,0,7.9,0.078,0.2,7.4,0.033,145.7,80.1,0.052,0.4,23.609
356,356,anchovy raw,37,1.4,0.4,0.3,0.5,0,0,5.8,0,17.0,0.012,20.8,0.097,0.055,0.029,0.032,0.009,4,0.2,0.067,0,0,0.2,0.015,41.6,0.071,0.9,11.6,0.025,49.2,108.4,0.045,0.5,49.714
357,357,herring raw,291,16.6,3.8,6.9,3.9,0,0,33,0,110.4,0.2,132.6,0.027,0.2,0.084,0.016,0.4,5.9,1.2,0.6,1.3,0.005,2,0.033,104.9,0.2,2,58.9,0.098,434.2,601.7,0.022,1.8,157.898
358,358,cod raw,189,1.5,0.3,0.2,0.5,0,0,41.1,0,99.3,0.1,187.6,0.045,0.2,0.016,0.061,0.2,4.8,0.4,0.6,2.3,0.083,1.5,0.021,37,0.023,0.9,73.9,0.013,468.9,954,0.096,1,82.88
359,359,tilapia raw,111,2,0.7,0.6,0.4,0,0,23.3,0,58.0,0.009,90.6,0,0.094,0.090,0.020,0.036,4.5,0.6,0.2,0,0.019,0.5,0.068,11.6,0.087,0.6,31.3,0.081,197.2,350.3,0.039,0.4,37.5
360,360,whiting cooked,84,1.2,0.3,0.3,0.4,0,0,16.9,0,60.5,0.018,53.8,0.064,0.040,0.075,0.045,0.050,1.2,0.2,0.1,0,0.027,0.3,0.075,44.6,0.010,0.3,19.4,0.017,205.2,312.5,0.077,0.4,63.037
361,361,skipjack tuna cooked,407,4,1.3,0.7,1.2,0,0,86.9,0,184.8,0.1,191.8,0.059,0.1,0.060,0.041,0.4,57.8,1.5,3,3.1,0,0,0,114,0.3,4.9,135.5,0.067,877.8,1607.80,0.1,3.2,212.936
362,362,salmon cooked,733,44,8.5,14.9,16.2,0,0,78.7,0,224.3,0.2,230.5,0.2,1.2,0.1,0.010,0.5,28.6,5.3,2.3,13.2,0.046,4.1,0.044,53.4,0.2,1.2,106.8,0.095,897.1,1367.00,0.1,1.5,190.7
363,363,chum salmon cooked,474,14.9,3.3,6.1,3.5,0,0,79.5,0,292.6,0.2,210.8,0.1,0.3,0.045,0.017,0.7,26.3,2.7,1.4,0,0,0,0,43.1,0.2,2.2,86.2,0.090,1118.00,1694.00,0.1,1.8,139.8
364,364,american shad cooked,363,25.4,0,0,0,0,0,31.3,0,138.2,0.043,85.3,0.031,0.3,0.008,0.065,0.4,15.5,1.2,0.7,0,0,0,0,86.4,0.1,1.8,54.7,0.027,502.6,708.5,0.035,0.7,144.967
365,365,shark cooked,65,3.9,0.9,1.7,1,1.8,0,5.3,0,16.7,0.068,17,0.058,0.034,0.050,0.066,0.013,0.8,0.2,0.063,0,0,0,0,14.2,0.031,0.3,12.2,0.057,54.9,43.9,0.064,0.1,25.548
366,366,trout cooked,118,5.3,0.9,2.6,1.2,0,0,16.5,0,45.9,0.027,39.3,0.020,0.3,0.019,0.026,0.3,3.6,1.4,0.1,0.3,0,0,0,34.1,0.1,1.2,17.4,0.7,194.7,287.1,0.096,0.5,57.496
367,367,swordfish raw,196,9,2.2,4,1.6,0,0,26.7,0,89.8,0.1,99.8,0.040,0.1,0.036,0.020,0.071,10.6,0.5,0.7,0,0.082,2.7,0.023,6.8,0.051,0.5,39.4,0.059,346.8,568.5,0.021,0.9,43.072
368,368,rainbow trout cooked,119,5.2,1.2,1.7,1.3,0,0,16.9,0,49.7,0.041,48.8,0.090,0.024,0.1,0.035,0.011,0.077,4.7,1.4,0.3,2.1,0.092,2,0.003,21.3,0.093,0.3,21.3,0.043,191.7,319.5,0.059,22.557
370,370,jellyfish dried,21,0.8,0.2,0.1,0.3,0,0,3.2,0,2.9,5.6,39.4,0.024,0.082,0.033,0,0.050,0.1,0,0.054,0,0,0.050,0.059,1.2,0.080,1.3,1.2,0,11.6,1.7,0.014,0.2,6.517
371,371,mullet raw,139,4.5,1.3,1.3,0.9,0,0,23,0,58.3,0.098,91.6,0.048,0.1,0.002,0.092,0.070,6.2,0.9,0.5,1.4,0.065,1.2,0.066,48.8,0.000,1.2,34.5,0.005,263,424.8,0.053,0.6,78.949
372,372,halibut cooked,353,5.1,1.1,1.8,1.1,0,0,71.7,0,190.8,0.3,242.1,0.043,0.007,0.2,0.010,0.043,0.1,25.2,1.3,2,0,0.089,2.4,0,28.6,0.095,0.6,89,0.071,912.7,1679.00,0.2,78.934
373,373,lingcod raw,213,2.7,0.5,0.9,0.8,0,0,44.2,0,130.0,0.1,202.6,0.079,0.067,0.040,0.093,0.3,4.8,1.9,0.8,0,0,0,0,35,0.024,0.8,65,0.035,502.5,1092.50,0.025,1.1,82.778
374,374,orange roughy cooked,30,0.3,0.046,0.1,0.076,0,0,6.4,0,22.6,0.079,19,0.049,0.025,0.035,0.043,0.009,0.5,0.025,0.022,0,0,0.5,0.076,3.1,0.043,0.3,5.1,0.061,28.9,51.2,0.024,0.095,10.146
375,375,cisco raw,77,1.5,0.3,0.4,0.5,0,0,15,0,39.5,0.042,62.4,0.022,0.098,0.016,0.023,0.024,2,0.6,0.2,0,0,0,0,9.5,0.029,0.3,13.4,0.019,120.1,279.7,0.080,0.3,26.367
376,376,florida pompano cooked,186,10.7,4,2.9,1.3,0,0,20.8,0,56.3,0.050,55.4,0.025,0.6,0.055,0.006,0.1,3.3,0.8,0.2,0,0,0,0,37.8,0.087,0.6,27.3,0.023,300.1,559.7,0.089,0.6,69.911
377,377,snapper raw,218,2.9,0.6,0.5,1,0,0,44.7,0,80.7,0.1,167.6,0.010,0.1,0.028,0.060,0.049,0.6,1.6,0.9,3.5,0.054,2.1,0.098,69.8,0.055,0.4,69.8,0.072,431.6,909.1,0.065,0.8,121.32
378,378,fish sandwich,565,27.4,4.3,5.7,13.8,58.7,7.8,22.6,0,77.0,1.3,106.6,0.2,0,0.5,0,0,0.3,4.7,0.8,0.2,4,0,0,0,81.4,0.2,3.3,55,0.6,255.2,453.2,0.1,109.3
379,379,haddock raw,143,0.9,0.2,0.1,0.3,0,0,31.5,0,104.2,0.4,160.9,0.098,0.010,0.005,0.012,0.1,6.5,0.8,0.5,0,0.025,0.9,0.079,21.2,0.034,0.3,40.5,0.051,438.1,552,0.025,0.6,53.952
380,380,ocean perch raw,51,1,0.2,0.3,0.2,0,0,9.8,0,33.3,0.2,50.4,0.087,0.064,0.074,0.021,0.060,0.6,0.2,0.078,0,0.080,0.5,0.051,17.9,0.043,0.1,14.7,0.045,158.7,119.7,0.029,0.2,28.835
381,381,cuttlefish cooked,45,0.4,0.080,0.061,0.061,0.5,0,9.2,0,63.4,0.2,17.3,0.050,0.070,0.046,0.057,0.5,0.6,0.3,0.015,2.4,0,0,0,50.9,0.3,3.1,17,0.056,164.1,180.3,0.037,1,66.521
382,382,cod cooked,189,1.5,0.3,0.2,0.5,0,0,41.1,0,99.0,0.1,136.7,0.077,0.2,0.024,0.071,0.1,4.5,0.3,0.5,1.8,0.097,1.5,0.028,25.2,0.010,0.9,75.6,0.016,248.4,439.2,0.090,1,70.534
383,383,seatrout raw,248,8.6,2.4,2.1,1.7,0,0,39.8,0,197.5,0.1,185.9,0.056,0.1,0.085,0.083,0.4,5.7,1.8,1,0,0,0,0,40.5,0.082,0.6,73.8,0.007,595,811.6,0.029,1.1,89.528
384,384,flounder raw,114,3.1,0.7,0.9,0.6,0,0,20.2,0,73.4,0.5,137.9,0.036,0.053,0.048,0.072,0.091,1.7,0.3,0.2,0,0.059,1,0.074,34.2,0.038,0.3,29.3,0.074,410.8,260.8,0.014,0.5,57.837
385,385,spot cooked,79,3.1,0.9,0.9,0.7,0,0,11.9,0,38.5,0.022,34.6,0.051,0.051,0.036,0.093,0.1,4.3,0.4,0.2,0,0,0,0,9,0.025,0.2,27,0.098,119,318,0.029,0.3,24.239
386,386,walleye pike cooked,148,1.9,0.4,0.5,0.7,0,0,30.4,0,136.4,0.069,91.1,0.085,0.4,0.032,0.047,0.2,3.5,1.1,0.2,0,0,0,0,174.8,0.3,2.1,47.1,1.3,333.6,618.8,0.073,1,209.213
387,387,perch raw,55,0.6,0.1,0.081,0.2,0,0,11.6,0,54.0,0.037,47.5,0.052,0.030,0.041,0.034,0.001,0.9,0.5,0.091,1,0.084,0.1,0.092,48,0.077,0.5,18,0.4,120,161.4,0.031,0.7,61.715
388,388,pumpkin seed sunfish raw,43,0.3,0.051,0.016,0.1,0,0,9.3,0,32.2,0.060,38.2,0.096,0.031,0.087,0.070,0.064,0.6,0.4,0.024,0.5,0,0,0,38.4,0.1,0.6,14.4,0.3,86.4,168,0.078,0.7,49.154
389,389,salt mackerel,415,34.1,9.7,11.3,8.4,0,0,25.2,0,129.2,6.1,58.5,0.031,0.050,0.061,0.065,0.3,4.5,0,0.6,0,0.030,3.2,0.043,89.8,0.1,1.9,81.6,0,345.4,707.2,0.082,1.5,151.025
390,390,mackerel cooked,231,15.7,3.7,6.2,3.8,0,0,21,0,66.0,0.064,46.9,0.065,0.1,0.014,0.097,0.4,6,0.9,0.4,0.4,0,0,0,13.2,0.086,1.4,85.4,0.008,244.6,352.9,0.038,0.8,51.733
391,391,tilapia cooked,111,2.3,0.8,0.8,0.5,0,0,22.8,0,49.6,0.011,62.3,0,0.021,0.006,0.037,0.072,4.1,0.6,0.1,0,0.013,0.7,0.053,12.2,0.049,0.6,29.6,0.083,177.5,330.6,0.034,0.4,37.9
392,392,drum raw,236,9.8,2.2,4.3,2.3,0,0,34.7,0,126.7,0.1,153.1,0.1,0.1,0.070,0.030,0.3,4.7,1.5,0.6,2,0,0,0,118.8,0.5,1.8,59.4,1.4,356.4,544.5,0.071,1.3,167.2
394,394,pumpkin seed sunfish cooked,42,0.3,0.025,0.083,0.1,0,0,9.2,0,31.8,0.046,27.3,0.087,0.001,0.038,0.062,0.028,0.5,0.3,0.066,0.4,0,0,0,38.1,0.1,0.6,14.1,0.3,85.5,166.1,0.025,0.7,48.674
395,395,wolffish raw,294,7.3,1.1,2.6,2.6,0,0,53.6,0,140.8,0.3,244.5,0.3,0.6,0.062,0.074,0.2,6.5,1.7,1.2,0,0,0,0,18.4,0.028,0.3,91.8,0.033,612,918,0.1,2.4,79.9
396,396,bluefin tuna cooked,276,9.4,2.4,3.1,2.8,0,0,44.9,0,73.5,0.020,88.6,1.1,0.4,0.034,0.062,0.5,15.8,2.1,0.8,0,0,0,0,15,0.2,2,96,0.028,489,484.5,0.036,1.2,72.4
397,397,scup cooked,68,1.8,0,0,0,0,0,12.1,0,33.5,0.061,34.2,0.093,0.004,0.051,0.037,0.044,2.5,0.4,0.2,0,0,0,0,25.5,0.078,0.3,14.5,0.034,118.5,184,0.015,0.3,39.718
398,398,herring cooked,290,16.6,3.7,6.8,3.9,0,0,32.9,0,110.1,0.2,91.7,0.076,0.2,0.067,0.060,0.4,5.9,1.1,0.5,1,0.000,2,0.074,105.8,0.2,2,58.6,0.082,433.3,599.2,0.066,1.8,158.304
399,399,bluefish raw,186,6.4,1.4,2.7,1.6,0,0,30.1,0,88.5,0.028,106.3,0.2,0.033,0.051,0.032,0.1,8.9,1.2,0.6,0,0,0,0,10.5,0.042,0.7,49.5,0.057,340.5,558,0.083,1.2,47.9
400,400,sheepshead cooked,234,3,0.7,0.7,0.7,0,0,48.4,0,119.0,0.1,128.4,0.069,0.061,0.058,0.062,0.089,3.3,1.6,0.7,0,0,0,0,68.8,0.2,1.2,65.1,0.085,651,952.3,0.065,1.2,121.48
401,401,bass cooked,91,2.9,0.6,1.1,0.8,0,0,15,0,53.9,0.078,42.6,0.073,0.081,0.085,0.002,0.009,0.9,0.5,0.023,1.3,0,0,0,63.9,0.047,1.2,23.6,0.7,158.7,282.7,0.026,0.5,84.379
402,402,pout cooked,279,3.2,1.1,1.2,0.1,0,0,58.4,0,183.6,0.2,208.5,0.062,0.3,0.077,0.017,0.2,7,0.5,0.8,0,0,0,0,35.6,0.1,1,46.6,0.022,701.4,1405.60,0.1,3.6,98.207
403,403,chinook salmon raw,709,41.3,12.3,17.4,11.1,0,0,78.9,0,198.0,0.2,283.7,0.5,0.2,0.1,0.077,0.4,33.3,3,1.6,15.8,0,4.8,0,103,0.2,1,376.2,0.034,1144.40,1560.20,0.1,1.7,240.5
